alpha_GFN2,alpha_wb97
87.07219871599999,515.898548
82.71549429999999,322.38662400000004
82.676423336,274.0354187
66.877427628,236.784904
133.985175668,294.2733827
23.28689692518371,182.8569700208803
118.47687371599999,276.0554707
77.74000025599999,227.732632
107.26287479199999,252.4384693
105.11872005599999,244.06640530000004
107.6459463,246.1383067
100.16922620799998,236.2175213
94.0877551,226.5468067
120.62268116799999,251.555748
71.13331799599999,197.026332
69.31258173999998,192.565908
21.095607208839773,143.897727579196
52.75916890799999,170.706308
132.79789672799998,249.54260269999997
88.680450188,205.0096493
103.26496840400002,218.5130213
99.016783508,214.232516
115.611257756,230.41375069999998
67.4359706,181.5797693
101.773217796,215.09841469999998
129.19261584,241.6186333
100.39963157199998,211.9767
118.479242752,229.19615469999997
111.59308439599998,221.5539773
86.8196749,195.5835293
72.344001952,179.5240493
102.937709768,209.15887869999997
97.48665072799999,202.85911069999997
77.922055352,183.0542933
84.20752492399998,188.65599469999998
98.44464422,202.29478669999997
23.375069051163848,125.22941765259222
102.93629177999999,204.20265469999998
94.074732136,194.2351507
73.70584911200001,173.7237813
106.79945423199999,206.14500669999998
133.69277265999997,232.72551069999997
102.782788696,200.93052269999998
135.53035338799998,233.11859869999998
109.90031130799998,205.703868
86.753134544,182.05322130000002
86.02217172,181.290676
94.05317504799999,187.940464
132.160549084,225.975872
85.258827236,178.44508000000002
114.32404018799998,207.494224
108.596205312,200.687852
75.332648388,167.3580053
80.996059752,172.734056
80.17196970399999,171.051592
72.264143668,163.023332
94.277530912,184.52852130000002
94.867340216,184.898176
66.955753668,156.94773469999998
81.14483231199999,170.8825267
118.57294806399999,208.0153813
87.93192228,177.11386930000003
98.24814905999999,186.99558269999997
91.61003559599999,180.230404
94.73493275599998,182.73091330000003
86.04398233199998,173.13913200000002
74.88998172,161.87559199999998
91.741366652,178.674332
78.53217513999999,165.2809733
119.436362748,205.9278413
109.778022312,196.254808
89.44220411599998,175.70456399999998
87.033728484,173.0323747
85.231836328,171.2266267
102.246785532,188.18209869999998
116.09278744799998,201.952216
85.67047043999999,171.51058930000002
105.56527646,191.21249730000002
67.289041232,152.7805973
75.845942728,161.27293600000002
75.04020704799998,160.390412
51.368375463999996,136.4758813
78.47834976,163.2014747
75.79492372399999,160.29431069999998
80.706740176,164.927056
88.40921517599999,172.012704
73.5555523,156.991444
105.21176869199999,188.54134399999998
85.07783093199998,168.079308
66.856117848,149.722868
94.86675887199998,177.454812
89.593579996,171.8138413
89.91988196,172.0835467
78.43518777999999,160.214884
105.24611786399998,186.8016533
70.845436536,152.3081813
107.40522193199999,188.43873069999998
15.33124342697006,96.31413494122386
105.125507336,185.83176
89.592053376,170.28011730000003
77.600909264,157.714424
81.14430439599998,161.1365293
55.174691411999994,134.5867107
120.333702288,199.251808
85.237602556,164.10526130000002
99.823718432,178.21725869999997
64.551150752,142.88581069999998
116.432827956,194.56326669999999
75.716159012,153.3717587
93.35493754,170.95450400000001
103.124476592,180.70938130000002
103.827970616,181.3646267
83.02896525599999,160.0583987
84.129569476,161.064848
