C2.N2
1.3704
1.3413
1.3727
1.3410
1.3565
1.3075
1.3929
1.3244
1.3366
1.3476
1.3401
1.3351
1.3254
1.3381
1.4239
1.3442
1.4290
1.3671
1.3353
1.3337
1.3889
1.3760
1.3442
1.3587
1.3241
1.3421
1.3315
1.3643
1.3447
1.3250
1.3444
1.3355
1.3483
1.3339
1.3475
1.3743
1.3785
1.3508
1.3417
1.3456
1.3356
1.3530
1.4044
1.3368
1.3336
1.3465
1.3441
1.3479
1.3463
1.3595
1.3662
1.3516
1.3380
1.3466
1.3724
1.3824
1.3794
1.3553
1.3694
1.3737
1.3578
1.4294
1.4051
1.3911
1.3739
1.3469
1.3471
1.3245
1.3666
1.3359
1.3502
1.3394
1.3183
1.3341
1.3866
1.4200
1.3441
1.3805
1.4201
1.3645
1.3780
1.3007
1.4243
1.3813
1.3115
1.3562
1.3549
1.3509
1.3356
1.3415
1.3901
1.3945
1.3973
1.3762
1.3598
1.3382
1.3530
1.3517
1.3579
1.3392
1.3332
1.3478
1.3571
1.3474
1.3867
1.2695
1.3603
1.3674
1.4242
1.3757
1.3420
1.3920
1.3419
1.3421
1.3738
1.3241
1.3431
1.4100
1.4195
1.3297
1.3849
1.3802
1.3771
1.3958
1.4703
1.3887
1.3376
1.4274
1.4266
1.3720
1.3635
1.4275
1.3447
1.4310
1.4352
1.4311
1.3350
1.3517
1.3328
1.3411
1.4308
1.4420
1.3507
1.3464
1.3476
1.3603
1.4417
1.4389
1.4302
1.4374
1.3500
1.3439
1.3913
1.3391
1.3619
1.3598
1.3867
1.4326
1.3367
1.3385
1.3435
1.3410
1.3515
1.3708
1.3671
1.3052
1.3568
1.3906
1.3411
1.3706
1.3780
1.3477
1.3369
1.3534
1.3365
1.3332
1.3372
1.3474
1.3480
1.3514
1.3881
1.3751
1.3671
1.4377
1.4275
1.3306
1.3256
1.3283
1.3274
1.4035
1.4080
1.3371
1.2890
1.3124
1.4372
1.4189
1.4575
1.3989
1.4793
1.3505
1.3601
1.4006
1.4216
1.3267
1.3408
1.3438
1.3474
1.3634
1.3178
1.3708
1.3675
1.3418
1.3607
1.4102
1.3329
1.3363
1.3403
1.3451
1.3380
1.3398
1.3273
1.3933
1.3920
1.3356
1.3422
1.3460
1.3268
1.2824
1.3380
1.3923
1.3243
1.3366
1.3479
1.3445
1.3246
1.3690
1.3537
1.4006
1.4200
1.3469
1.3540
1.3532
1.3586
1.3204
1.3802
1.3428
1.4335
1.3449
1.3987
1.3513
1.3511
1.3351
1.3427
1.4104
1.3764
1.3804
1.3816
1.3594
1.3603
1.3314
1.4017
1.3750
1.3650
1.3589
1.3712
1.3154
1.3367
1.3925
1.4603
1.4516
1.3520
1.3887
1.4166
1.3782
1.3778
1.3576
1.3741
1.3253
1.3872
1.3788
1.3934
1.3447
1.3681
1.3732
1.3831
1.3638
1.3303
1.3809
1.3354
1.3372
1.3471
1.3485
1.3027
1.3724
1.3943
1.4080
1.3990
1.3983
1.3891
1.4157
1.4036
1.4400
1.3456
1.4203
1.3774
1.3775
1.4149
1.4175
1.3541
1.3387
1.3265
1.3520
1.3483
1.3469
1.3333
1.3521
1.3747
1.3497
1.3895
1.3464
1.3542
1.3733
1.3113
1.3760
1.3682
1.3556
1.3664
1.3526
1.3523
1.3245
1.3615
1.3513
1.3488
1.3714
1.3309
1.3374
1.3663
1.3470
1.3560
1.3456
1.3532
1.3656
1.3382
1.4030
1.4258
1.3849
1.3350
1.3807
1.3393
1.3290
1.4330
1.4629
1.3602
1.3815
1.3739
1.3722
1.3953
1.3776
1.3123
1.4437
1.3364
1.3359
1.3312
1.3400
1.3899
1.3925
1.3034
1.3627
1.3373
1.3349
1.3254
1.3045
1.3087
1.4110
1.3583
1.3175
1.3316
1.3283
1.3348
1.3939
1.3300
1.3774
1.3503
1.3464
1.3903
1.3454
1.3415
1.3412
1.4087
1.4011
1.3227
1.3615
